公司名稱,公司簡稱,公司代號
茂生農經股份有限公司,茂生農經,1240
安心食品服務股份有限公司,安心,1259
德麥食品股份有限公司,德麥,1264
漢來美食股份有限公司,漢來美食,1268
漢田生技股份有限公司,漢田生技,1294
生合生物科技股份有限公司,生合,1295
台翰精密科技股份有限公司,台翰,1336
精華光學股份有限公司,精華,1565
濱川企業股份有限公司,濱川,1569
力肯實業股份有限公司,力肯,1570
新麥企業股份有限公司,新麥,1580
精剛精密科技股份有限公司,精剛,1584
和勤精機股份有限公司,和勤,1586
英屬開曼群島商駿吉控股(股)公司,駿吉-KY,1591
祺驊股份有限公司,祺驊,1593
川寶科技股份有限公司,川寶,1595
宏佳騰動力科技股份有限公司,宏佳騰,1599
台灣蠟品股份有限公司,台蠟,1742
生泰合成工業股份有限公司,生泰,1777
合世生醫科技股份有限公司,合世,1781
訊聯生物科技股份有限公司,訊聯,1784
光洋應用材料科技股份有限公司,光洋科,1785
杏昌生技股份有限公司,杏昌,1788
金穎生物科技股份有限公司,金穎生技,1796
易威生醫科技股份有限公司,易威,1799
寶利徠光學科技股份有限公司,寶利徠,1813
富喬工業股份有限公司,富喬,1815
唐榮鐵工廠股份有限公司,唐榮公司,2035
風青實業股份有限公司,風青,2061
世鎧精密股份有限公司,世鎧精密,2063
晉椿工業股份有限公司,晉椿,2064
世豐螺絲股份有限公司,世豐,2065
世德工業股份有限公司,世德,2066
嘉鋼精密工業股份有限公司,嘉鋼,2067
精湛光學科技股份有限公司,精湛,2070
雄順金屬股份有限公司,雄順,2073
大甲永和機械工業股份有限公司,大甲,2221
泰茂實業股份有限公司,泰茂,2230
謚源實業股份有限公司,謚源,2235
綠意開發股份有限公司,綠意,2596
台灣大車隊股份有限公司,大車隊,2640
正德海運股份有限公司,正德,2641
捷迅股份有限公司,捷迅,2643
全心投資控股股份有限公司,全心投控,2718
台鋼燦星國際旅行社股份有限公司,燦星旅,2719
藝舍國際創新股份有限公司,藝舍-KY,2724
雅茗天地股份有限公司,雅茗-KY,2726
瓦城泰統股份有限公司,瓦城,2729
六角國際事業股份有限公司,六角,2732
易飛網國際旅行社股份有限公司,易飛網,2734
富野大飯店股份有限公司,富野,2736
華軒地產股份有限公司,華軒,2740
山富國際旅行社股份有限公司,山富,2743
五福旅行社股份有限公司,五福,2745
王座國際餐飲股份有限公司,王座,2751
豆府股份有限公司,豆府,2752
亞洲藏壽司股份有限公司,亞洲藏壽司,2754
揚秦國際企業股份有限公司,揚秦,2755
聯發國際餐飲事業股份有限公司,聯發國際,2756
滿心企業股份有限公司,滿心,2916
開曼群島宏太股份有限公司,宏太-KY,2924
誠品生活股份有限公司,誠品生活,2926
集雅社股份有限公司,集雅社,2937
米斯特國際企業股份有限公司,米斯特,2941
振宇五金股份有限公司,振宇五金,2947
寶陞國際股份有限公司,寶陞,2948
欣新網股份有限公司,欣新網,2949
泰偉電子股份有限公司,泰偉,3064
李洲科技股份有限公司,李洲,3066
全域股份有限公司,全域,3067
協禧電機股份有限公司,協禧,3071
天方能源科技股份有限公司,天方能源,3073
僑威科技股份有限公司,僑威,3078
聯亞光電工業股份有限公司,聯亞,3081
中華網龍股份有限公司,網龍,3083
台鋼新零售股份有限公司,新零售,3085
華義國際數位娛樂股份有限公司,華義*,3086
艾訊股份有限公司,艾訊,3088
台灣港建股份有限公司,港建*,3093
及成企業股份有限公司,及成,3095
穩懋半導體股份有限公司,穩懋,3105
好德科技股份有限公司,好德,3114
富育榮綱股份有限公司,富榮綱,3115
進階生物科技股份有限公司,進階,3118
